Date,Opportunity Name,Account Name,City,State,LEED Certification Target,Building Type - Concatenated,Building Type - Primary,Building Type - Secondary,Brief Description,LEED Certification Level,Industry / Sector - Concatenated,Industry / Sector - Primary,Industry / Sector - Secondary,Service Category (New),Region Where Located - Primary,Region Where Located - Secondary
201-08-11 09:33:00,Pathway to Net Zero Baseline and Gap Analysis,"California State University, Sacramento (Sac State)",Sacramento,CA,N/A,Planning|Higher Education,Planning,Higher Education,This analysis demonstrated how Sac State's 2015 Master Plan will enable the campus to generate approximately 35% of its building energy use from on-site renewable resources and identified a program for making further progress toward a net zero goal.,N/A,Higher Education,Higher Education,,"Advanced Green Buildings; Other Green Building; Energy, Waste, & Water; Planning & Infrastructure; Corporate Sustainability Programs; Reporting & Regulatory Compliance",US - Northern California,
201-08-11 09:33:00,Corporate Campus Office Building 2A,Juniper Networks,Sunnyvale,CA,LEED Gold,Offices,Offices,,"This 8-story, 318,000-square-foot office building on the new Juniper Networks corporate campus contains a two-story executive briefing center, a proof-of-concept lab, two full-service cafeterias, and corporate offices.",LEED Gold,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,The Gas Company Office Tower,Maguire Properties,Los Angeles,CA,LEED Certified,Offices|Headquarters,Offices,Headquarters,"This 50-story tower's primary tenant renewed its lease when the owner committed to LEED EB:O&M certification. In turn, the owner averted millions of dollars in lost income and turnover costs. In partnership with Healthy Buildings Solutions.",LEED Gold,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Southern California,
201-08-11 09:33:00,The Magnolia Apartments,"Innovative Housing, Inc.",Portland,OR,LEED Silver,Multifamily Residential,Multifamily Residential,,"This 47,000-square-foot affordable housing development provides a mix of one- and two-bedroom units for low-income singles, couples, and families.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Atwater Place Condominiums in South Waterfront,Gerding Edlen Development,Portland,OR,LEED Silver,Multifamily Residential|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"This 437,000-square-foot luxury condominium tower on Portland's Willamette River features energy efficient fixtures and appliances, indoor air quality strategies, on-site storm water management, and efficient plumbing fixtures to reduce water use 30%.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,901 5th Avenue Office Tower,Kennedy Wilson (Seattle),Seattle,WA,LEED Silver,Offices,Offices,,"This 40-story, 1970s-era office tower in Seattle's central business district underwent an extensive renovation and achieved LEED EB Silver for reducing energy consumption by 35%, water use by 50%, and total operation and maintenance costs by 15%.",LEED Silver,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,269 East Grand,Alexandria Real Estate,South San Francisco,CA,LEED Silver,Laboratories|Offices,Laboratories,Offices,"This 3-story, 107,000-square-foot life sciences building is targeting LEED certification with a diverse set of sustainable design and operations strategies that will reduce costs, provide best-in-class lab space, and signal corporate citizenship.",Not yet certified,Biotechnology & Life Sciences|Research,Biotechnology & Life Sciences,Research,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Facilities Portfolio,Hillsboro School District,Hillsboro,OR,LEED Gold,K-12 Education,K-12 Education,,"This 35-building LEED EB:O&M opportunity assessment identified $200,000 in annual savings for Hillsboro schools. Then, as a pilot project to familiarize Hillsboro with the LEED EB:O&M process, Brightworks managed the Gold certification of Jackson School.",LEED Gold,K-12 Education,K-12 Education,,LEED Services; Other Green Building; Corporate Sustainability Programs,US - Pacific Northwest,
201-08-11 09:33:00,Northern California Printing Facility,TC Transcontinental,Fremont,CA,LEED Silver,Industrial,Industrial,,"This 350,000-square-foot manufacturing and warehouse space was built for Transcontinental, the largest Canadian printer and the sixth-largest in North America. For this flagship U.S. location, Brightworks managed the LEED Silver certification process.",LEED Silver,Manufacturing|Warehousing & Distribution,Manufacturing,Warehousing & Distribution,LEED Services,US - Northern California,
201-08-11 09:33:00,GO5 Office Building Renovation,Southern California Edison,Rosemead,CA,LEED Certified,Headquarters|Interiors|Offices,Headquarters,Offices,"This 255,000-square-foot, Southern California Edison office contains mainframe rooms, a data center, A/V rooms, offices, conference rooms, and dining spaces. Its LEED strategy focused on energy efficiency and environmentally-friendly commuting.",LEED Silver,Infrastructure & Utilities,Infrastructure & Utilities,,LEED Services,US - Southern California,
201-08-11 09:33:00,222 South Main Office Tower,Hamilton Partners,Salt Lake City,UT,LEED Silver,Offices|Retail & Restaurants,Offices,Retail & Restaurants,"This 22-story, Class A tower with over 450,000 square feet conserves 1.5 million gallons of water per year as part of the region's effort to live within its ecological limits. In addition, it features fully automated energy and HVAC systems.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Other Regions,
201-08-11 09:33:00,Santa Monica Headquarters,Agensys,Santa Monica,CA,LEED Silver,Headquarters|Laboratories|Offices,Headquarters,Offices,"This 160,000-square-foot corporate headquarters and R&D center for new cancer therapies helps Santa Monica bring its Bergamot Area into being as the city and Los Angeles region prepare for the 2016 arrival of the new Expo Line light rail.",Not yet certified,Biotechnology & Life Sciences|Research,Biotechnology & Life Sciences,Research,LEED Services,US - Southern California,
201-08-11 09:33:00,1285 Sutter Condominiums,Gerding Edlen Development,San Francisco,CA,LEED Gold,Multifamily Residential,Multifamily Residential,,"This 13-story, 205,000-square-foot mixed-use apartment building features green roofs for open space, storm water filtration, and habitat for birds and insects. Zero- or low-emission materials constitute the healthy and sustainable materials strategy.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Northern California,
201-08-11 09:33:00,590 Middlefield,Four Corners Properties,Mountain View,CA,LEED Silver,Offices,Offices,,"This 100,000-square-foot, 3-story speculative office building in Mountain View, California, targeted LEED Silver but achieved LEED Platinum instead. It is now the headquarters of Omnicell, which improves medication and supply distribution within hospitals.",LEED Platinum,Real Estate Development,Real Estate Development,,LEED Services; Advanced Green Buildings,US - Northern California,
201-08-11 09:33:00,Colin Building Addition LEED Contractor Services,South Seattle Community College,Seattle,WA,LEED Silver,Higher Education,Higher Education,,"This 10,300-square-foot addition to the Colin Education Building contains general purpose classrooms. The project team focused on making the addition 30% more energy efficient than the existing building. An innovative green roof treats runoff water.",LEED Silver,Higher Education|Construction,Higher Education,Construction,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Lincoln Square Tower,Kemper Development Company,Bellevue,WA,LEED Gold,Offices|Hospitality,Offices,Hospitality,"This 1.5 million-square-foot, commercial mixed-use addition to Lincoln Square will house a hotel operated by a major brand, offices for information economy businesses, retail amenities, and structured parking. The project will be LEED Gold certified.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,The Casey Condominiums,Gerding Edlen Development,Portland,OR,LEED Platinum,Multifamily Residential|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"The world's first LEED Platinum high-rise condominium building, The Casey employs heat-recovery ventilation, photovoltaic solar panels, and an eco-roof to achieve 52% energy savings and 32% water savings annually.",LEED Platinum,Real Estate Development,Real Estate Development,,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Center for Health and Healing,Oregon Health & Science University (OHSU),Portland,OR,LEED Silver,Healthcare|Offices,Healthcare,Offices,"The world's first LEED Platinum high-rise building -- and the first Platinum healthcare facility of any kind -- achieved projected energy savings near $600,000 per year, and cut water use by over 50% with cutting-edge sustainability strategies.",LEED Platinum,Healthcare & Social Services|Higher Education,Healthcare & Social Services,Higher Education,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Whole Foods Building in the Brewery Blocks,Gerding Edlen Development,Portland,OR,LEED Silver,Offices|Mixed-Use|Retail & Restaurants,Offices,Retail & Restaurants,"The Whole Foods building houses the district water chiller for this innovative, five-block development, a system that allows greater efficiency than traditional cooling systems and provides water for air conditioning to all five sites in the development.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,International Headquarters,United Brotherhood of Carpenters (UBC),Los Angeles,CA,N/A,Headquarters|Offices,Headquarters,Offices,"The United Brotherhood of Carpenters requested that Brightworks assess its headquarters facility in San Francisco for its LEED certification potential. While certification proved infeasible, the study identified strategies for more efficient O&M.",N/A,Healthcare & Social Services,Healthcare & Social Services,,LEED Services,US - Southern California,
201-08-11 09:33:00,275 Albany Apartments,Gerding Edlen Development,Boston,MA,LEED Gold,Multifamily Residential,Multifamily Residential,,"The two towers of this Boston development will house a total of 350,000 square feet of LEED Gold certified residential units. 275 Albany will significantly enrich Boston's South End, already one of the most vibrant neighborhoods in the U.S.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Northeast,
201-08-11 09:33:00,Evo Condominiums in South Park,Gerding Edlen Development,Los Angeles,CA,LEED Silver,Multifamily Residential|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"The third of three new mixed-use housing developments in downtown Los Angeles (along with the Elleven and Luma condominiums), this 23-story high-rise tower is projected to save more than $50,000 in energy costs and reduce CO2 emission by 200 tons per year.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Southern California,
201-08-11 09:33:00,CB2 Store at Santa Monica Place,Crate & Barrel,Santa Monica,CA,LEED Certified,Retail & Restaurants|Interiors,Retail & Restaurants,Interiors,"The target market for Crate and Barrel's CB2 expects major brands to practice environmental stewardship. For this reason, CB2's new, 14,000-square-foot retail store in Santa Monica Place uses recycled, local, and healthy materials in its design.",LEED Certified,Retail,Retail,,LEED Services,US - Southern California,
201-08-11 09:33:00,District 12 Offices Tenant Improvement,Caltrans,Irvine,CA,LEED Silver,Offices|Interiors|Government,Offices,Government,The strategic selection of sustainability strategies -- along with the project controls offered by Brightworks LEEDWorks task management software -- allowed Caltrans to achieve LEED Gold certification for its Orange County headquarters.,LEED Gold,Government|Transportation,Government,Transportation,LEED Services,US - Southern California,
201-08-11 09:33:00,Cellar House Office Building in the Brewery Blocks,Gerding Edlen Development,Portland,OR,LEED Gold,Offices|Mixed-Use|Retail & Restaurants,Offices,Retail & Restaurants,"The second of five blocks converted into Portland's celebrated Brewery Blocks redevelopment, this office building incorporated the shells of two salvaged buildings into its design, earning it the Oregon State Historic Preservation Adaptive Reuse Award.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Luma Lofts in South Park,Gerding Edlen Development,Los Angeles,CA,LEED Silver,Multifamily Residential|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"The second LEED Gold condominium tower in California, Luma was also the second of three residential towers in downtown LA's South Park district. The 19-story building reduces water use 30% while featuring healthy and sustainable materials in the units.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Southern California,
201-08-11 09:33:00,General Automotive Office Building Adaptive Re-Use,Conover Bond Development,Portland,OR,,Offices,Offices,,"The renovation to this historic building, originally built in 1923, achieved LEED Gold Certification with a 28% reduction in energy use and a 43% reduction in potable water use.",N/A,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Commonwealth Corporate Center,Sobrato Organization,Menlo Park,CA,LEED Gold,Offices,Offices,,"The redevelopment of this site in the Silicon Valley community of Menlo Park will include demolition of two existing buildings and the design and construction of two new, 4-story office and R&D buildings totaling 260,000 square feet.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Northern California,
201-08-11 09:33:00,SeaTac Airport Green Design Standards,Port of Seattle,Seattle,WA,N/A,Transportation & Parking,Transportation & Parking,,"The Port of Seattle retained Brightworks to evaluate SeaTac Airport's architectural, graphics, signage, and casework design standards for greater alignment with the LEED rating system, while promoting Port Standards for durability and performance.",N/A,Ports,Ports,,Other Green Building,US - Pacific Northwest,
201-08-11 09:33:00,Sustainability Impacts Assessment,Metro Regional Government,Portland,OR,N/A,N/A,N/A,,"The Portland region's Metro Regional Government hired Brightworks to survey its environmental impacts, evaluate its sustainability programs, and propose new programs to align sustainability spending with demonstrated needs.",N/A,Government,Government,,"Energy, Waste, & Water; Corporate Sustainability Programs; Reporting & Regulatory Compliance",US - Pacific Northwest,
201-08-11 09:33:00,Corporate Offices,Clorox,Oakland,CA,LEED Platinum,Headquarters|Offices,Headquarters,Offices,"The Platinum certification of Clorox's 400,000-square-foot headquarters achieved a three-year payback of all program costs, with annual operating cost savings of over $120,000 per year. A shrewd investment paid off for this Fortune 500 company.",LEED Platinum,Manufacturing,Manufacturing,,LEED Services; Advanced Green Buildings,US - Northern California,
201-08-11 09:33:00,David Evans and Associates Headquarters,Urban Renaissance Group,Portland,OR,LEED Gold,Headquarters|Offices,Headquarters,Offices,"The owner of this Class A office building on Portland's waterfront pursued Gold LEED EB:O&M certification to retain the building's tenant. The LEED program improved automation, plumbing, procurement, recycling, and composting within the headquarters.",LEED Gold,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Business Center,San Francisco International Airport (SFO),San Francisco,CA,LEED Silver,Offices|Interiors|Government,Offices,Government,"The new home for SFO employees working in information technology, telecommunications, aviation management, parking management, revenue, finance, and accounting surpassed its initial LEED Silver target to achieve LEED Gold certification.",LEED Gold,Aviation|N/A,Aviation,N/A,LEED Services,US - Northern California,
201-08-11 09:33:00,Pacific Regional Center,NOAA (National Oceanic and Atmospheric Administration),Pearl Harbor,HI,LEED Gold,Government|Laboratories|Offices,Government,Offices,The new headquarters for all NOAA operations in the Pacific Ocean will occupy two adaptively-re-used World War II-era Aircraft hangers in Pearl Harbor.,Not yet certified,Government|Research,Government,Research,LEED Services,US - Hawaii,
201-08-11 09:33:00,Community Development Commission Offices (Gateway at Alhambra),County of Los Angeles,Alhambra,CA,LEED Gold,Offices|Government,Offices,Government,"The National Development Council pioneered a public-private partnership model for this LA County department headquarters. Efficient plumbing fixtures and xeriscaping reduce water use, while non-toxic materials provide staff a healthy indoor environment.",LEED Gold,Government|Real Estate Development,Government,Real Estate Development,LEED Services,US - Southern California,
201-08-11 09:33:00,Museum Place Apartments,Shiels Obletz Johnsen (SOJ),Portland,OR,LEED Certified,Multifamily Residential|Mixed-Use|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,The Museum Place Apartments provide extensive daylight to occupants of residential and retail spaces and reduce consumption of potable water by 30%.,LEED Certified,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Molokai Community Center,Molokai Community Service Council,Moloka'i,HI,N/A,Planning,Planning,,"The Moloka'i Community Service Council retained Brightworks to convert a decommissioned power plant into a sustainable town center, with space for community events, commerce, and tourism.",N/A,Government,Government,,Other Green Building; Planning & Infrastructure,US - Hawaii,
201-08-11 09:33:00,Plaza 555 Office,Lionakis,Sacramento,CA,N/A,Offices,Offices,,"The managers and operators of Sacramento's first Modernist office building retained Brightworks to assess the feasibility of achieving LEED EB:O&M certification for the historic building, which sits within walking distance of the California State Capitol.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Northern California,
201-08-11 09:33:00,U.S. Forest Service Laramie Ranger Station,Viking Properties,Laramie,WY,N/A,Government|Public Safety & Emergency Services,Government,Public Safety & Emergency Services,The manager of this U. S Forest Service center asked Brightworks to evaluate the facility for its potential to achieve LEED EB:O&M certification.,N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Other Regions,
201-08-11 09:33:00,Distribution Center Feasibility Assessment,Yanbal Cosmetics,Bogota,International,N/A,Industrial,Industrial,,"The LEED effort for this Manufacturing and Distribution Center in Bogota, Colombia, launched a successful, long-term partnership between Brightworks and this global cosmetics brand.",N/A,Manufacturing,Manufacturing,,LEED Services,International - All Regions,
201-08-11 09:33:00,Social and Behavioral Science Building,California State University San Marcos (CSUSM),San Marcos,CA,LEED Silver,Higher Education|Laboratories,Higher Education,Laboratories,"The largest academic building on the CSU San Marcos campus, this advanced facility houses labs for ethnobotany, behavioral neuroscience, and geographic information systems in a state-of-the art center for collaboration between social science disciplines.",LEED Silver,Higher Education,Higher Education,,LEED Services,US - Southern California,
201-08-11 09:33:00,Lincoln Hall Renovation,Portland State University (PSU),Portland,OR,LEED Gold,Higher Education,Higher Education,,"The innovative and award-winning LEED Platinum program for this university arts center balanced historic preservation of a revered 1912 building with modern sustainability, occupant health, and energy efficiency measures.",LEED Platinum,Higher Education|Arts & Entertainment,Higher Education,Arts & Entertainment,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,425 Market Street,Cushman & Wakefield,San Francisco,CA,LEED Gold,Offices,Offices,,"The Gold certification of this 945,400-square-foot office tower in downtown San Francisco achieved simple payback in 1.5 years and an annual return of 67%. The building now houses Cushman & Wakefield's Northern California regional headquarters.",LEED Gold,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Northern California,
201-08-11 09:33:00,New Headquarters LEED Contractor Services,L. A. Care,Los Angeles,CA,LEED Silver,Healthcare|Interiors|Headquarters,Healthcare,Headquarters,"The general contractor of this new, 140,000-square-foot headquarters retained Brightworks to track construction waste recycling, document the health and safety aspects of construction materials, and prepare LEED documentation materials for GBCI review.",LEED Silver,Healthcare & Social Services|Construction,Healthcare & Social Services,Construction,LEED Services,US - Southern California,
201-08-11 09:33:00,Burlingham Hall Student Housing,Pacific University,Forest Grove,OR,LEED Gold,Higher Education|Multifamily Residential,Higher Education,Multifamily Residential,"The four-story, 58,000-square-foot Burlingham Hall boasts daylighting, energy efficiency, and green education strategies that made it the first LEED Gold Certified student residence on the West Coast, part of Pacific University's commitment to stewardship.",LEED Gold,Higher Education,Higher Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Durham Influent Pump Station,Clean Water Services,Tigard,OR,LEED Silver,Infrastructure|Government|Industrial,Infrastructure,Industrial,"The first U.S. wastewater pump station to earn LEED Silver certification computerized the massive pumps in its wet wells to dramatically reduce energy consumption. Additionally, variable frequency drives operate the pumps at maximum efficiency.",LEED Silver,Infrastructure & Utilities,Infrastructure & Utilities,,LEED Services; Planning & Infrastructure,US - Pacific Northwest,
201-08-11 09:33:00,New Library,Pacific University,Forest Grove,OR,LEED Certified,Higher Education,Higher Education,,"The first of six buildings Brightworks has LEED certified for Pacific University, this thoughtfully-engineered, 48,000-square-foot university library reduces potable water consumption by 189,000 gallons per year.",LEED Certified,Higher Education,Higher Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Block 13 Retail Center,Tri-Cities Research District,Richland,WA,N/A,Planning|Retail & Restaurants,Planning,Retail & Restaurants,The first of several master planned blocks within the new Tri-Cities Research Innovation District will bring new retail space to Washington state's growing Tri-Cities region and the nearby Pacific Northwest National Lab.,N/A,Real Estate Development,Real Estate Development,,"Other Green Building; Energy, Waste, & Water; Planning & Infrastructure",US - Pacific Northwest,
201-08-11 09:33:00,New Sales and Service Center,Kendall Toyota of Eugene,Eugene,OR,LEED Silver,Retail & Restaurants|Offices|Transportation & Parking,Retail & Restaurants,Transportation & Parking,"The first LEED Platinum dealership in the United States, this Toyota sales and service center achieved energy and water reductions of more than 50%, reducing energy costs by $68,000 and carbon emissions by 214 tons annually.",LEED Platinum,Automotive|Retail,Automotive,Retail,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Southern Oregon University Higher Education Building,Rogue Community College,Medford,OR,LEED Certified,Higher Education,Higher Education,,"The first LEED Platinum building in Southern Oregon provides lecture halls, science labs, an auditorium, and offices to be shared by Rogue Community College and Southern Oregon University. All stormwater run-off is treated on-site.",LEED Platinum,Higher Education,Higher Education,,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Elleven Lofts in South Park,Gerding Edlen Development,Los Angeles,CA,LEED Silver,Multifamily Residential|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"The first LEED Gold condominium development in California, this 13-story high-rise tower uses energy-efficient lighting, low-VOC paint, low-flush toilets, natural fiber carpets and plentiful windows that reduce the need for electric lighting.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Southern California,
201-08-11 09:33:00,Wayne L. Morse U.S. Courthouse,U.S. General Services Administration (GSA) Region 10 (Northwest/Arctic),Eugene,OR,LEED Silver,Government|Public Safety & Emergency Services,Government,Public Safety & Emergency Services,"The first LEED Gold Certified Federal courthouse in the United States, this award-winning design also received the AIA Committee on the Environment's Top Ten Green Award in 2007.",LEED Gold,Government,Government,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,The Henry Condominiums in the Brewery Blocks,Gerding Edlen Development,Portland,OR,LEED Gold,Multifamily Residential|Mixed-Use|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"The first LEED Gold certified condominium development in the United States, The Henry uses an air-to-water heat exchange system that captures waste heat to pre-heat the building's domestic hot water, reducing energy use, and lowering bills for owners.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,The Louisa Apartments in the Brewery Blocks,Gerding Edlen Development,Portland,OR,LEED Gold,Multifamily Residential|Transportation & Parking|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"The first LEED Gold apartment building in the Pacific Northwest boasts ambitious energy conservation measures, a green roof, and high recycled material content for its residential tower and two-story retail/commercial podium.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Sue Buel Elementary School,McMinnville School District,McMinnville,OR,LEED Silver,K-12 Education,K-12 Education,,"The first LEED for Schools Gold Certified elementary school in the U.S., this school earned $250,000 in incentive funds. It also received an 18.7-kilowatt solar array, thanks to funds from local, state, and Federal sources.",LEED Gold,K-12 Education,K-12 Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Oak Grove Campus 2030 Master Plan,NASA Jet Propulsion Lab (JPL),Pasadena,CA,N/A,Government|Laboratories|Planning,Government,Planning,"The energy strategy for this 182-acre, 2.7-million-square-foot research campus details an energy intensity reduction strategy to meet EO 13514's net zero energy buildings goal; helps JPL comply with EO 13514; and stewards natural resources long-term.",N/A,Research,Research,,"Energy, Waste, & Water; Planning & Infrastructure; Reporting & Regulatory Compliance",US - Pacific Northwest,
201-08-11 09:33:00,Egypt Nanotechnology Centre,Information Technology Industry Development Agency of Egypt,Cairo,International,N/A,Laboratories,Laboratories,,The Egypt Nanotechnology Centre is located in a newly-constructed building on Cairo University's Extended Campus. It is being developed to advance Egyptian expertise in nanoscience and nanotechnology with the long-term goal of creating new businesses.,N/A,Research,Research,,LEED Services,International - All Regions,
201-08-11 09:33:00,Amberglen Corporate Campus Sustainability Strategy,City of Hillsboro,Hillsboro,OR,N/A,Planning|Industrial,Planning,Industrial,"The district system study for this 600-acre development included an inventory of the site's water, energy, and open space resources; an assessment of potential district systems; a review of the development program; and a conceptual district energy plan.",N/A,Infrastructure & Utilities,Infrastructure & Utilities,,"Energy, Waste, & Water; Planning & Infrastructure",US - Pacific Northwest,
201-08-11 09:33:00,Northside Branch Library,City of Santa Clara,Santa Clara,CA,LEED Silver,Cultural & Public Service,Cultural & Public Service,,"The City of Santa Clara, which requires LEED certification for new city buildings, will soon boast a new, LEED certified library, serving as a civic destination for the surrounding Rivermark planned community.",Not yet certified,Arts & Entertainment|Government,Arts & Entertainment,Government,LEED Services,US - Northern California,
201-08-11 09:33:00,Portfolio LEED EB:O&M Feasibility Assessment and Certification Plan,City of Olympia,Olympia,WA,N/A,Government|Public Safety & Emergency Services|Offices,Government,Offices,"The City of Olympia retained Brightworks to evaluate the infrastructure, systems, and operations and maintenance practices of its facility portfolio to identify ways to improve operational efficiencies while reducing environmental impacts.",N/A,Government,Government,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,LEED Peer Review for Two Elementary Schools,City and Borough of Juneau,Juneau,AK,LEED Certified,K-12 Education,K-12 Education,,The City and Borough of Juneau retained Brightworks to help it respond to LEED review comments on two schools needing certification to meet a municipal LEED requirement. The course correction helped Juneau maintain schedule and achieve certification.,LEED Certified,K-12 Education,K-12 Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Math/Science Building Renovation,Chabot Las Positas Community College District,Livermore,CA,LEED Silver,Higher Education,Higher Education,,"The Chabot-Las Positas Community College District is renovating two existing concrete-framed buildings, totaling 40,000 square feet and housing the district's physical science and math programs.",Not yet certified,Higher Education,Higher Education,,LEED Services,US - Northern California,
201-08-11 09:33:00,Boeing Field Customer Delivery Center,Boeing,Seattle,WA,LEED Silver,Hospitality|Offices,Hospitality,Offices,The Boeing Field Customer Delivery Center is one of two such facilities where Boeing customers take ownership of -- and celebrate -- their new aircraft. Brightworks has provided LEED services for six major Boeing facilities.,Not yet certified,Aviation,Aviation,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Erieview Tower,Minshall Stewart Properties,Cleveland,OH,LEED Silver,Offices,Offices,,"The 38-story Erieview Tower anchors Cleveland's central business district. In partnership with HLMS Sustainability Solutions (a Brightworks affiliate), our team is managing the LEED EB:O&M certification process for this high-profile development.",Not yet certified,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Midwest,
201-08-11 09:33:00,Broadway Community Health Center LEED Contractor Services,Community Health Center of Snohomish County,Everett,WA,LEED Silver,Healthcare,Healthcare,,"Sustainable buildings are also healthy buildings. Brightworks provided LEED services during construction for this 20,000-square-foot non-profit clinic, which serves low-income and uninsured residents of Snohomish County.",LEED Silver,Healthcare & Social Services|Construction,Healthcare & Social Services,Construction,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Stafford Hills Racquet and Fitness Club,Zupancic Group,Tualatin,OR,LEED Silver,Sports & Recreation,Sports & Recreation,,"Stafford Hills offers a family-friendly place to stay active, have fun, and meet neighbors. Smart sustainable design provides a 20% energy and 37% water savings. A 450,000-square-foot wetland adjacent to the site offers restored habitat and scenic views.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Southern California Edison Cal Poly Pomona Innovation Village Offices,Trammell Crow Company,Pomona,CA,LEED Gold,Offices,Offices,,Southern California Edison developed this LEED Gold workplace at Cal Poly Pomona's Innovation Village so that students can expand their understanding of energy trends and technologies through direct contact with industry practitioners.,LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Southern California,
201-08-11 09:33:00,Weyburn Terrace Graduate Student Housing,"University of California, Los Angeles (UCLA)",Los Angeles,CA,LEED Gold,Higher Education|Multifamily Residential,Higher Education,Multifamily Residential,"Sited at the southwest corner of the UCLA campus adjacent to the bustling Westwood Village neighborhood, Weyburn Terrace provides 500 units of modern, healthy, daylight-filled sustainable housing for UCLA graduate students.",LEED Gold,Higher Education,Higher Education,,LEED Services,US - Southern California,
201-08-11 09:33:00,Columbia Shores Office Building,CE John,Vancouver,WA,LEED Certified,Offices,Offices,,"Silver certified under LEED's Core and Shell program, this office building emphasized the selection of sustainable materials, such as 20% recycled materials, 25% regionally manufactured materials, and over 60% FSC-certified wood.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Automotive Carbon Fiber Manufacturing Facility (Building 2),"SGL Carbon, LLC",Moses Lake,WA,LEED Gold,Industrial,Industrial,,SGL manufactures the carbon fiber and composite materials inside BMW cars. This new North American office and manufacturing complex will reduce potable water use by 46% and be 22% more energy efficient than ASHRAE 90.1-2007.,Not yet certified,Automotive|Manufacturing,Automotive,Manufacturing,LEED Services,US - Pacific Northwest,
